,points:,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2,3,1,,,,2,2,4,5,2,5,,,,2,2,2,2,2,2,2,2,,,,2,2,4,2,2,2,2,2,,,,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,,,,,,2,2,2,,,,,,2,2,2,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zestaw →,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2,2,2,,,,3,3,3,3,3,3,,,,4,4,4,4,4,4,4,4,,,,5,5,5,5,5,5,5,5,,,,7,7,7,7,7,7,,,,,,8,8,8,8,8,8,8,8,,,,,,9,9,9,9,9,9,,,,,,10,10,10,,,,,,11,11,11,11,11,,,,,,,,,
ID:,,Zadanie →,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,,suma punktów,l. zadań:,,A,B,C,suma punktów,l. zadań:,,A,B,C,D,E,F,suma punktów,l. zadań:,,A,B,C,D,E,F,G,H,suma punktów,l. zadań:,,A,B,C,D,E,F,G,I,suma punktów,l. zadań:,,A,B,C,D,E,F,suma punktów,l. zadań:,,,,A,B,C,D,E,F,G,H,total points:,total assign:,,,,A,B,C,D,E,F,total points:,total assign:,,,,A,B,C,total points:,total assign:,,,,A,B,C,D,E,total points:,total assign:,,all points:,,,Kolokwium 1:,Kolokwium 2:,Kolokwium 3:
4228284,,,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,,5,5,,2,3,1,6,3,,0,2,0,5,2,5,14,4,,2,2,0,2,2,2,0,0,10,5,,2,2,4,2,2,0,0,0,12,5,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,47,,,5,5,5
2421825,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,,,,,
5527018,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,3,3,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,2,2,2,2,0,0,8,4,,2,2,4,2,2,0,2,2,16,7,,2,2,2,2,0,2,10,5,,,,2,0,2,2,2,2,2,2,14,7,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,51,,,5,4,5
3381820,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,,,4,5,4
6963332,,,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,,8,8,,2,3,1,6,3,,2,2,4,5,2,5,20,6,,2,2,2,2,2,2,2,2,16,8,,2,2,4,2,2,2,2,2,18,8,,0,2,2,2,2,2,10,5,,,,0,0,2,2,2,2,2,2,12,6,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,90,,,5,5,5
6973740,,,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,,6,6,,2,0,0,2,1,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,2,0,0,0,6,3,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,14,,,5,2,5
